,Chart Date,Title,Artist,Number of Weeks In Top 100
0,2019-12-14,Heartless,The Weeknd,2
1,2019-12-07,Circles,Post Malone,13
2,2019-11-30,Circles,Post Malone,12
3,2019-11-23,Someone You Loved,Lewis Capaldi,27
4,2019-11-16,Someone You Loved,Lewis Capaldi,26
5,2019-11-09,Lose You To Love Me,Selena Gomez,2
6,2019-11-02,Someone You Loved,Lewis Capaldi,24
7,2019-10-26,Truth Hurts,Lizzo,24
8,2019-10-19,HIGHEST IN THE ROOM,Travis Scott,1
9,2019-10-12,Truth Hurts,Lizzo,22
10,2019-10-05,Truth Hurts,Lizzo,21
11,2019-09-28,Truth Hurts,Lizzo,20
12,2019-09-21,Truth Hurts,Lizzo,19
13,2019-09-14,Truth Hurts,Lizzo,18
14,2019-09-07,Truth Hurts,Lizzo,17
15,2019-08-31,Senorita,Shawn Mendes & Camila Cabello,9
16,2019-08-24,Bad Guy,Billie Eilish,20
17,2019-08-17,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,23
18,2019-08-10,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,22
19,2019-08-03,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,21
20,2019-07-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,20
21,2019-07-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,19
22,2019-07-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,18
23,2019-07-06,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,17
24,2019-06-29,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,16
25,2019-06-22,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,15
26,2019-06-15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,14
27,2019-06-08,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,13
28,2019-06-01,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,12
29,2019-05-25,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,11
30,2019-05-18,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,10
31,2019-05-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,9
32,2019-05-04,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,8
33,2019-04-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,7
34,2019-04-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,6
35,2019-04-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,5
36,2019-04-06,7 Rings,Ariana Grande,10
37,2019-03-30,7 Rings,Ariana Grande,9
38,2019-03-23,7 Rings,Ariana Grande,8
39,2019-03-16,Sucker,Jonas Brothers,1
40,2019-03-09,Shallow,Lady Gaga & Bradley Cooper,22
41,2019-03-02,7 Rings,Ariana Grande,5
42,2019-02-23,7 Rings,Ariana Grande,4
43,2019-02-16,7 Rings,Ariana Grande,3
44,2019-02-09,7 Rings,Ariana Grande,2
45,2019-02-02,7 Rings,Ariana Grande,1
46,2019-01-26,Without Me,Halsey,15
47,2019-01-19,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,12
48,2019-01-12,Without Me,Halsey,13
49,2019-01-05,"Thank U, Next",Ariana Grande,8
50,2018-12-29,"Thank U, Next",Ariana Grande,7
51,2018-12-22,"Thank U, Next",Ariana Grande,6
52,2018-12-15,"Thank U, Next",Ariana Grande,5
53,2018-12-08,Sicko Mode,Travis Scott,17
54,2018-12-01,"Thank U, Next",Ariana Grande,3
55,2018-11-24,"Thank U, Next",Ariana Grande,2
56,2018-11-17,"Thank U, Next",Ariana Grande,1
57,2018-11-10,Girls Like You,Maroon 5 Featuring Cardi B,23
