,Billboard Chart Date,Title,Artist,Genre,Year,Spotify Song ID,Spotify Popularity Rating,Number of Weeks In Top 100,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Explicitness,Duration (mins),Time Signature
0,2019-12-14,Heartless,The Weeknd,R&B/Soul,2019,57vxBYXtHMk6H1aD29V7PU,94.0,2,0.531,0.75,10.0,-5.831,0.0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,explicit,3.3346666666666667,4.0
1,2019-12-07,Circles,Post Malone,Hip-Hop/Rap,2019,21jGcNKet2qwijlDFuPiPb,99.0,13,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,notExplicit,3.588,4.0
2,2019-11-30,Circles,Post Malone,Hip-Hop/Rap,2019,21jGcNKet2qwijlDFuPiPb,99.0,12,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,notExplicit,3.588,4.0
3,2019-11-23,Someone You Loved,Lewis Capaldi,Alternative,2019,7qEHsqek33rTcFNT9PFqLf,96.0,27,0.501,0.405,1.0,-5.6789999999999985,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,notExplicit,3.036016666666667,4.0
4,2019-11-16,Someone You Loved,Lewis Capaldi,Alternative,2019,7qEHsqek33rTcFNT9PFqLf,96.0,26,0.501,0.405,1.0,-5.6789999999999985,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,notExplicit,3.036016666666667,4.0
5,2019-11-09,Lose You To Love Me,Selena Gomez,Pop,2019,1HfMVBKM75vxSfsQ5VefZ5,98.0,2,0.505,0.34,4.0,-9.005,1.0,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,notExplicit,3.440983333333333,4.0
6,2019-11-02,Someone You Loved,Lewis Capaldi,Alternative,2019,7qEHsqek33rTcFNT9PFqLf,96.0,24,0.501,0.405,1.0,-5.6789999999999985,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,notExplicit,3.036016666666667,4.0
7,2019-10-26,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,24,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
8,2019-10-19,HIGHEST IN THE ROOM,Travis Scott,Hip-Hop/Rap,2019,3eekarcy7kvN4yt5ZFzltW,97.0,1,0.598,0.4270000000000001,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,explicit,2.9286833333333333,4.0
9,2019-10-12,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,22,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
10,2019-10-05,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,21,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
11,2019-09-28,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,20,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
12,2019-09-21,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,19,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
13,2019-09-14,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,18,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
14,2019-09-07,Truth Hurts,Lizzo,Pop,2019,5qmq61DAAOUaW8AUo8xKhh,91.0,17,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,explicit,2.88875,4.0
15,2019-08-31,Senorita,Shawn Mendes & Camila Cabello,Pop,2019,0TK2YIli7K1leLovkQiNik,96.0,9,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,notExplicit,3.1826666666666665,4.0
16,2019-08-24,Bad Guy,Billie Eilish,Alternative,2019,2Fxmhks0bxGSBdJ92vM42m,96.0,20,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,notExplicit,3.2348,4.0
17,2019-08-17,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,23,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
18,2019-08-10,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,22,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
19,2019-08-03,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,21,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
20,2019-07-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,20,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
21,2019-07-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,19,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
22,2019-07-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,18,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
23,2019-07-06,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,17,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
24,2019-06-29,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,16,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
25,2019-06-22,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,15,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
26,2019-06-15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,14,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
27,2019-06-08,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,13,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
28,2019-06-01,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,12,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
29,2019-05-25,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,11,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
30,2019-05-18,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,10,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
31,2019-05-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,9,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
32,2019-05-04,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,8,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
33,2019-04-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Country,2019,2YpeDb67231RjR0MgVLzsG,92.0,7,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,notExplicit,2.617783333333333,4.0
